,ARG0,ARG1,ARG1-DSP,ARG2,ARG3,ARG4,ARG5,ARGA,ARGM-ADJ,ARGM-ADV,ARGM-CAU,ARGM-COM,ARGM-CXN,ARGM-DIR,ARGM-DIS,ARGM-EXT,ARGM-GOL,ARGM-LOC,ARGM-LVB,ARGM-MNR,ARGM-MOD,ARGM-NEG,ARGM-PRD,ARGM-PRP,ARGM-PRR,ARGM-TMP,C-ARG0,C-ARG1,C-ARG1-DSP,C-ARG2,C-ARG3,C-ARGM-CXN,C-ARGM-LOC,C-V,R-ARG0,R-ARG1,R-ARG2,R-ARGM-ADJ,R-ARGM-ADV,R-ARGM-DIR,R-ARGM-LOC,R-ARGM-MNR,R-ARGM-TMP,_
ARG0,116,72,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541
ARG1,58,227,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934
ARG1-DSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ARG2,9,25,0,20,1,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065
ARG3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
ARG4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
ARG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ARGM-ADJ,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
ARGM-ADV,3,6,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473
